0 -345.000000 -375.000000 143.000000 1 7 1200 1200 1200 0 6000 0
1 -347.000000 -534.000000 143.000000 0 2 1200 1200 1200 0 6000 0
2 -352.000000 -675.000000 143.000000 1 3 1200 1200 1200 0 6000 0
3 -588.000000 -718.000000 143.000000 2 4 1200 1200 1200 0 6000 0
4 -749.000000 -586.000000 143.000000 3 5 1200 1200 1200 0 6000 0
5 -687.000000 -486.000000 143.000000 4 6 8 1200 1200 0 6000 0
6 -724.000000 -349.000000 143.000000 5 7 1200 1200 1200 0 6000 0
7 -570.000000 -293.000000 143.000000 6 0 1200 1200 1200 0 6000 0
8 -610.000000 -519.000000 -872.000000 5 9 1200 1200 1200 0 6000 0
9 -405.000000 -512.000000 -880.000000 8 10 1200 1200 1200 0 6000 0
10 -227.000000 -463.000000 -880.000000 9 11 39 1200 1200 0 6000 0
11 -213.000000 -101.000000 -880.000000 10 12 29 31 1200 0 6000 0
12 -212.000000 56.000000 -813.000000 11 13 1200 1200 1200 0 6000 0
13 -218.000000 221.000000 -784.000000 12 14 1200 1200 1200 0 6000 0
14 -425.000000 223.000000 -784.000000 13 15 24 1200 1200 0 6000 0
15 -538.000000 523.000000 -784.000000 14 16 1200 1200 1200 0 6000 0
16 -710.000000 593.000000 -773.000000 15 17 1200 1200 1200 0 6000 0
17 -766.000000 236.000000 -784.000000 16 18 1200 1200 1200 0 6000 0
18 -472.000000 223.000000 -976.000000 17 19 1200 1200 1200 0 6000 0
19 -470.000000 476.000000 -976.000000 18 20 22 1200 1200 0 6000 0
20 -772.000000 460.000000 -976.000000 19 21 23 1200 1200 0 6000 0
21 -817.000000 207.000000 -976.000000 20 1200 1200 1200 1200 0 6000 0
22 -471.000000 686.000000 -976.000000 19 23 1200 1200 1200 0 6000 0
23 -729.000000 698.000000 -976.000000 22 20 1200 1200 1200 0 6000 0
24 -753.000000 230.000000 -592.000000 14 25 1200 1200 1200 0 6000 0
25 -740.000000 600.000000 -592.000000 24 26 1200 1200 1200 0 6000 0
26 -523.000000 559.000000 -592.000000 25 27 1200 1200 1200 0 6000 0
27 -419.000000 385.000000 -592.000000 26 28 1200 1200 1200 0 2000 0
28 -140.000000 269.000000 -592.000000 27 1200 1200 1200 1200 0 2000 0
29 -379.000000 -6.000000 -880.000000 11 30 1200 1200 1200 0 6000 0
30 -301.000000 93.000000 -880.000000 29 1200 1200 1200 1200 0 6000 0
31 90.000000 -255.000000 -912.000000 11 32 1200 1200 1200 0 6000 1
32 131.000000 279.000000 -912.000000 31 33 1200 1200 1200 0 6000 0
33 160.000000 787.000000 -912.000000 32 34 1200 1200 1200 0 6000 0
34 707.000000 858.000000 -912.000000 33 35 40 1200 1200 0 6000 0
35 731.000000 451.000000 -912.000000 34 36 1200 1200 1200 0 6000 0
36 701.000000 31.000000 -912.000000 35 37 1200 1200 1200 0 6000 0
37 665.000000 -467.000000 -912.000000 36 38 1200 1200 1200 0 6000 0
38 293.000000 -434.000000 -912.000000 37 39 1200 1200 1200 0 6000 0
39 -43.000000 -503.000000 -912.000000 38 10 1200 1200 1200 0 6000 1
40 607.000000 700.000000 -912.000000 34 41 1200 1200 1200 0 2000 0
41 -270.000000 -328.000000 494.000000 40 1200 1200 1200 1200 0 2000 0
